Index;Item name;Quantity Min;Quantity Max;Propability;Respawn;Is mounted
1;Pipe;1;1;100;0;0
2;Stick01;1;1;100;0;0
3;Stick02;1;1;100;0;0
4;Axe_01;1;1;100;0;0
5;Quill_01;1;1;100;0;0
6;Note_01;1;1;100;0;0
7;Wheatstone_01;1;1;100;0;0
8;Hammer_01;1;1;100;0;0
9;Hammer_02;1;1;100;0;0
10;Fishing_pole_01;1;1;100;0;0
11;Fishing_rod_01;1;1;100;0;0
12;Cleaver_01;1;1;100;0;0
13;Saw_01;1;1;100;0;0
14;Meat_01;1;1;100;0;0
15;Bucket_01;1;1;100;0;0
16;Apple_01;1;1;100;0;0
17;Bottle_01;1;1;100;0;0
18;Crossbow_01;1;1;100;0;0
19;Halberd_01_r;1;1;100;0;0
20;Halberd_01_l;1;1;100;0;0
21;Glaive_01_r;1;1;100;0;0
22;Glaive_01_l;1;1;100;0;0
